### Service Nations
GER	= "countries/Germany.txt"
ENG = "countries/United Kingdom.txt"
SOV = "countries/Soviet Union.txt"
SWE	= "countries/Sweden.txt"
FRA	= "countries/France.txt"
BEL	= "countries/Belgium.txt"
HOL	= "countries/Holland.txt"
CZE	= "countries/Czechoslovakia.txt"
POL	= "countries/Poland.txt"
AUS	= "countries/Austria.txt"
LIT	= "countries/United Baltics.txt"
SPR = "countries/Spain.txt"
SPA = "countries/Republican Spain.txt"
ITA = "countries/Italy.txt"
ROM = "countries/Romania.txt"
YUG = "countries/Yugoslavia.txt"
GRE = "countries/Greece.txt"
ALB = "countries/Albania.txt"
NOR = "countries/Norway.txt"
DEN = "countries/Denmark.txt"
BUL = "countries/Bulgaria.txt"
FIN = "countries/Finland.txt"
IRE = "countries/Ireland.txt"
HUN = "countries/Hungary.txt"
AST = "countries/Australia.txt"
BRA = "countries/Brazil.txt"
CAN = "countries/Canada.txt"
CHI = "countries/China.txt"
ETH = "countries/Ethiopia.txt"
JAP = "countries/Japan.txt"
MEX = "countries/Mexico.txt"
NZL = "countries/New Zealand.txt"
SIA = "countries/Siam.txt"
USA = "countries/USA.txt"
RAJ = "countries/British Raj.txt"
MAN = "countries/Manchukou.txt"
SAF = "countries/South Africa.txt"
EFR = "countries/Vichy France.txt"
